top - 17:46:24 up  2:40,  2 users,  load average: 7.97, 6.61, 5.54
Tasks:  40 total,   9 running,  31 sleeping,   0 stopped,   0 zombie
Cpu(s):  76.4% user,   6.9% system,   0.0% nice,  16.7% idle
Mem:    257044k total,    76632k used,   180412k free,    14924k buffers
Swap:        0k total,        0k used,        0k free,    49152k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND             
  821 u2        15   0   236  236  196 R 14.0  0.1  39:23.81 u2p1                
  998 u3        14   0   236  236  196 R 14.0  0.1   0:44.87 u3p2                
  795 u1        14   0   236  236  196 R 12.0  0.1  42:07.08 u1p1                
  834 u1        14   0   236  236  196 R 12.0  0.1  32:21.65 u1p2                
  930 u3        14   0   236  236  196 R 12.0  0.1   8:53.39 u3p1                
  942 u2        14   0   236  236  196 R 12.0  0.1   8:32.93 u2p2                
 1014 u4        14   0   236  236  196 R 12.0  0.1   0:22.57 u4p1                
 1020 u4        14   0   236  236  196 R 12.0  0.1   0:20.41 u4p2                
    1 root       8   0   500  500  448 S  0.0  0.2   0:00.08 init                
    2 root       8   0     0    0    0 S  0.0  0.0   0:00.00 keventd             
    3 root      19  19     0    0    0 S  0.0  0.0   0:00.01 ksoftirqd_CPU0      
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd              
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush             
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.63 kupdated            
   99 root       9   0     0    0    0 S  0.0  0.0   0:05.64 kjournald           
  413 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd               
  495 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient            
  500 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap             
  657 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd             
  660 root       9   0  1384 1380  480 S  0.0  0.5   0:00.02 klogd               
  695 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4               
  701 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd               
  705 lp         9   0   864  864  752 S  0.0  0.3   0:00.01 lpd                 
  712 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.01 sshd                
