top - 17:53:50 up  2:47,  2 users,  load average: 8.00, 7.69, 6.47
Tasks:  40 total,   9 running,  31 sleeping,   0 stopped,   0 zombie
Cpu(s):  77.1% user,   6.9% system,   0.0% nice,  16.0% idle
Mem:    257044k total,    77948k used,   179096k free,    15112k buffers
Swap:        0k total,        0k used,        0k free,    50248k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND             
  795 u1        20   0   236  236  196 R 22.0  0.1  43:02.24 u1p1                
  930 u3        20   0   236  236  196 R 22.0  0.1   9:48.85 u3p1                
  821 u2        20   0   236  236  196 R 12.0  0.1  40:19.46 u2p1                
  834 u1        20   0   236  236  196 R 12.0  0.1  33:17.70 u1p2                
  942 u2        20   0   236  236  196 R 12.0  0.1   9:28.46 u2p2                
  998 u3        20   0   236  236  196 R 12.0  0.1   1:40.38 u3p2                
 1014 u4        18   0   236  236  196 R  8.0  0.1   1:18.09 u4p1                
    1 root       8   0   500  500  448 S  0.0  0.2   0:00.08 init                
    2 root       8   0     0    0    0 S  0.0  0.0   0:00.00 keventd             
    3 root      19  19     0    0    0 S  0.0  0.0   0:00.01 ksoftirqd_CPU0      
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd              
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush             
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.65 kupdated            
   99 root       9   0     0    0    0 S  0.0  0.0   0:06.41 kjournald           
  413 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd               
  495 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient            
  500 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap             
  657 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd             
  660 root       9   0  1384 1380  480 S  0.0  0.5   0:00.02 klogd               
  695 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4               
  701 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd               
  705 lp         9   0   864  864  752 S  0.0  0.3   0:00.01 lpd                 
  712 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.01 sshd                
  716 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd           
  720 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                 
  723 root       8   0   716  716  612 S  0.0  0.3   0:00.00 cron                
  729 root       9   0  1632 1632 1208 S  0.0  0.6   0:00.02 bash                
  730 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  731 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  732 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  733 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  734 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  735 root       9   0  2268 2260 1948 S  0.0  0.9   0:12.97 sshd                
  737 root       9   0  2268 2260 1948 S  0.0  0.9   0:00.01 sshd                
  739 root      11   0  1632 1632 1220 S  0.0  0.6   0:00.03 bash                
  779 root       9   0  2240 2232 1948 S  0.0  0.9   0:00.99 sshd                
  781 root       8   0  2240 2232 1948 S  0.0  0.9   0:00.00 sshd                
  783 root       9   0   980  980  784 S  0.0  0.4   0:00.01 sftp-server         
 1020 u4        14   0   236  236  196 R  0.0  0.1   1:16.19 u4p2                
 1027 root      11   0   948  948  768 R  0.0  0.4   0:00.00 top                 


top - 17:53:51 up  2:47,  2 users,  load average: 8.00, 7.69, 6.47
Tasks:  40 total,   9 running,  31 sleeping,   0 stopped,   0 zombie
Cpu(s): 100.0% user,   0.0% system,   0.0% nice,   0.0% idle
Mem:    257044k total,    77956k used,   179088k free,    15112k buffers
Swap:        0k total,        0k used,        0k free,    50252k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND             
 1020 u4        20   0   236  236  196 R 18.0  0.1   1:16.37 u4p2                
  795 u1        20   0   236  236  196 R 12.0  0.1  43:02.36 u1p1                
  821 u2        20   0   236  236  196 R 12.0  0.1  40:19.58 u2p1                
  834 u1        20   0   236  236  196 R 12.0  0.1  33:17.82 u1p2                
  930 u3        20   0   236  236  196 R 12.0  0.1   9:48.97 u3p1                
  942 u2        20   0   236  236  196 R 12.0  0.1   9:28.58 u2p2                
  998 u3        20   0   236  236  196 R 12.0  0.1   1:40.50 u3p2                
 1014 u4        16   0   236  236  196 R 10.0  0.1   1:18.19 u4p1                
    1 root       8   0   500  500  448 S  0.0  0.2   0:00.08 init                
    2 root       8   0     0    0    0 S  0.0  0.0   0:00.00 keventd             
    3 root      19  19     0    0    0 S  0.0  0.0   0:00.01 ksoftirqd_CPU0      
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd              
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush             
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.65 kupdated            
   99 root       9   0     0    0    0 S  0.0  0.0   0:06.41 kjournald           
  413 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd               
  495 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient            
  500 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap             
  657 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd             
  660 root       9   0  1384 1380  480 S  0.0  0.5   0:00.02 klogd               
