top - 18:01:28 up  2:55,  2 users,  load average: 8.00, 7.92, 7.05
Tasks:  40 total,   9 running,  31 sleeping,   0 stopped,   0 zombie
Cpu(s):  77.7% user,   7.0% system,   0.0% nice,  15.3% idle
Mem:    257044k total,    79564k used,   177480k free,    15164k buffers
Swap:        0k total,        0k used,        0k free,    51772k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND             
  834 u1        20   0   236  236  196 R 19.7  0.1  34:15.14 u1p2                
  942 u2        20   0   236  236  196 R 15.7  0.1  10:25.62 u2p2                
  998 u3        20   0   236  236  196 R 13.8  0.1   2:37.02 u3p2                
  795 u1        20   0   236  236  196 R 11.8  0.1  43:59.17 u1p1                
  821 u2        20   0   236  236  196 R 11.8  0.1  41:16.85 u2p1                
  930 u3        20   0   236  236  196 R 11.8  0.1  10:46.50 u3p1                
 1014 u4        20   0   236  236  196 R 11.8  0.1   2:14.81 u4p1                
 1020 u4        16   0   236  236  196 R  3.9  0.1   2:13.48 u4p2                
    1 root       8   0   500  500  448 S  0.0  0.2   0:00.08 init                
    2 root       8   0     0    0    0 S  0.0  0.0   0:00.00 keventd             
    3 root      19  19     0    0    0 S  0.0  0.0   0:00.01 ksoftirqd_CPU0      
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd              
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush             
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.73 kupdated            
   99 root       9   0     0    0    0 S  0.0  0.0   0:07.33 kjournald           
  413 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd               
  495 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient            
  500 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap             
  657 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd             
  660 root       9   0  1384 1380  480 S  0.0  0.5   0:00.02 klogd               
  695 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4               
  701 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd               
  705 lp         9   0   864  864  752 S  0.0  0.3   0:00.01 lpd                 
  712 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.01 sshd                
  716 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd           
  720 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                 
  723 root       8   0   716  716  612 S  0.0  0.3   0:00.00 cron                
  729 root       9   0  1632 1632 1208 S  0.0  0.6   0:00.02 bash                
  730 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  731 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  732 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  733 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  734 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  735 root       9   0  2268 2260 1948 S  0.0  0.9   0:13.14 sshd                
  737 root       9   0  2268 2260 1948 S  0.0  0.9   0:00.01 sshd                
  739 root      11   0  1632 1632 1220 S  0.0  0.6   0:00.03 bash                
  779 root       9   0  2240 2232 1948 S  0.0  0.9   0:00.99 sshd                
  781 root       8   0  2240 2232 1948 S  0.0  0.9   0:00.00 sshd                
  783 root       9   0   980  980  784 S  0.0  0.4   0:00.01 sftp-server         
 1032 root      11   0   948  948  768 R  0.0  0.4   0:00.00 top                 


top - 18:01:29 up  2:55,  2 users,  load average: 8.00, 7.92, 7.05
Tasks:  40 total,   9 running,  31 sleeping,   0 stopped,   0 zombie
Cpu(s):  46.0% user,  54.0% system,   0.0% nice,   0.0% idle
Mem:    257044k total,    79572k used,   177472k free,    15164k buffers
Swap:        0k total,        0k used,        0k free,    51776k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND             
  834 u1        20   0   236  236  196 R 20.0  0.1  34:15.34 u1p2                
  821 u2        20   0   236  236  196 R 15.0  0.1  41:17.00 u2p1                
 1020 u4        14   0   236  236  196 R 15.0  0.1   2:13.63 u4p2                
  795 u1        20   0   236  236  196 R 14.0  0.1  43:59.31 u1p1                
 1014 u4        20   0   236  236  196 R 13.0  0.1   2:14.94 u4p1                
  930 u3        18   0   236  236  196 R 10.0  0.1  10:46.60 u3p1                
  998 u3        14   0   236  236  196 R  7.0  0.1   2:37.09 u3p2                
  942 u2        14   0   236  236  196 R  6.0  0.1  10:25.68 u2p2                
    1 root       8   0   500  500  448 S  0.0  0.2   0:00.08 init                
    2 root       8   0     0    0    0 S  0.0  0.0   0:00.00 keventd             
    3 root      19  19     0    0    0 S  0.0  0.0   0:00.01 ksoftirqd_CPU0      
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd              
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush             
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.73 kupdated            
   99 root       9   0     0    0    0 S  0.0  0.0   0:07.33 kjournald           
  413 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd               
  495 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient            
  500 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap             
  657 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd             
  660 root       9   0  1384 1380  480 S  0.0  0.5   0:00.02 klogd               
  695 Debian-e   9   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4               
  701 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd               
  705 lp         9   0   864  864  752 S  0.0  0.3   0:00.01 lpd                 
  712 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.01 sshd                
  716 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd           
  720 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                 
  723 root       8   0   716  716  612 S  0.0  0.3   0:00.00 cron                
  729 root       9   0  1632 1632 1208 S  0.0  0.6   0:00.02 bash                
  730 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  731 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  732 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  733 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  734 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty               
  735 root       9   0  2268 2260 1948 S  0.0  0.9   0:13.14 sshd                
  737 root       9   0  2268 2260 1948 S  0.0  0.9   0:00.01 sshd                
  739 root       9   0  1632 1632 1220 S  0.0  0.6   0:00.03 bash                
  779 root       9   0  2240 2232 1948 S  0.0  0.9   0:00.99 sshd                
  781 root       8   0  2240 2232 1948 S  0.0  0.9   0:00.00 sshd                
  783 root       9   0   980  980  784 S  0.0  0.4   0:00.01 sftp-server         
 1032 root       9   0  1036 1036  844 R  0.0  0.4   0:00.00 top                 


top - 18:01:30 up  2:55,  2 users,  load average: 8.00, 7.92, 7.05
Tasks:  40 total,   9 running,  31 sleeping,   0 stopped,   0 zombie
Cpu(s):  96.0% user,   4.0% system,   0.0% nice,   0.0% idle
Mem:    257044k total,    79576k used,   177468k free,    15164k buffers
Swap:        0k total,        0k used,        0k free,    51780k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND             
  942 u2        20   0   236  236  196 R 19.0  0.1  10:25.87 u2p2                
  930 u3        20   0   236  236  196 R 14.0  0.1  10:46.74 u3p1                
  998 u3        16   0   236  236  196 R 14.0  0.1   2:37.23 u3p2                
  821 u2        20   0   236  236  196 R 12.0  0.1  41:17.12 u2p1                
  834 u1        20   0   236  236  196 R 12.0  0.1  34:15.46 u1p2                
 1020 u4        14   0   236  236  196 R 12.0  0.1   2:13.75 u4p2                
  795 u1        19   0   236  236  196 R 11.0  0.1  43:59.42 u1p1                
 1014 u4        14   0   236  236  196 R  6.0  0.1   2:15.00 u4p1                
    1 root       8   0   500  500  448 S  0.0  0.2   0:00.08 init                
